name,id,numberDocks,latitude,longitude,nbhd,district,cluster,sline
15DENOVIEMBRE,144,16.0,-34.6339776264,-58.4009623109,PARQUE PATRICIOS,4,3,0
25DEMAYO,50,20.0,-34.6016384998,-58.3711554749,SAN NICOLAS,1,0,0
9DEJULIO,135,16.0,-34.6123893029,-58.3807663115,MONSERRAT,1,2,1
ACEVEDO,128,20.0,-34.5998125733,-58.442901273900006,VILLA CRESPO,15,3,1
ACUNADEFIGUEROA,145,20.0,-34.5982221816,-58.4217046053,ALMAGRO,5,3,0
AGUERO,95,20.0,-34.5946161106,-58.409034003500004,RECOLETA,2,2,0
AIMEPAINE,127,27.0,-34.6118079129,-58.360905798500006,PUERTO MADERO,1,1,0
ALSINA,24,21.0,-34.6105722194,-58.38076693560001,MONSERRAT,1,0,0
ARANGUREN,214,20.0,-34.610796276900004,-58.433506016,CABALLITO,6,2,0
ARENALES,22,20.0,-34.5940998363,-58.382570459200004,RETIRO,1,2,1
ARENALESYAGUERO,212,20.0,-34.5911108808,-58.4059738535,RECOLETA,2,3,0
ARMENIA,155,20.0,-34.5854242215,-58.42104415359999,PALERMO,14,2,0
ARMENIAYGORRITI,190,20.0,-34.5905542157,-58.4288881957,PALERMO,14,1,0
ARAOZ,102,20.0,-34.592672512,-58.425816436000005,PALERMO,14,3,0
AUSTRIAYFRENCH,226,19.0,-34.5881914581,-58.40436108270001,RECOLETA,2,3,0
AVPAVONY33ORIENTALES,209,12.0,-34.6313699718,-58.4217825751,BOEDO,5,3,0
AVELINODIAZ,114,20.0,-34.6352502807,-58.4274014111,PARQUE CHACABUCO,7,3,1
AYACUCHO,65,20.0,-34.6075726451,-58.3949273063,BALVANERA,3,2,0
AZOPARDOYCHILE,184,20.0,-34.6159263967,-58.367470007,SAN TELMO,1,0,0
AZUCENAVILLAFLOR,120,28.0,-34.6117206753,-58.363969079499995,PUERTO MADERO,1,0,0
BALCARCE,100,21.0,-34.615847413400004,-58.3708787659,MONSERRAT,1,0,0
BELGRANO,76,16.0,-34.6133846465,-58.3705766234,MONSERRAT,1,0,0
BILLINGHURST,103,19.0,-34.594629144,-58.4138589269,RECOLETA,2,3,0
BILLINGHURSTYMANSILLA,167,20.0,-34.592696613899996,-58.4119136708,RECOLETA,2,3,0
BILLINGHURSTYVALENTINGOMEZ,183,20.0,-34.6046352325,-58.4157587038,ALMAGRO,5,3,0
BOUCHARD,60,19.0,-34.5993374577,-58.3696217087,SAN NICOLAS,1,0,0
BRASIL,171,12.0,-34.6256071806,-58.3709849319,SAN TELMO,1,3,0
CABELLO,160,19.0,-34.5824723756,-58.405312698900005,PALERMO,14,3,0
CARLOSCALVO,173,19.0,-34.6206013403,-58.3947694934,SAN CRISTOBAL,3,2,0
CARLOSGARDEL,101,20.0,-34.602891143899996,-58.411584894799994,BALVANERA,3,3,1
CASTILLO,146,20.0,-34.5927067189,-58.4367711514,VILLA CRESPO,15,1,0
CASTROYMEXICO,207,12.0,-34.619802649,-58.4204709626,ALMAGRO,5,2,0
CATAMARCA,210,20.0,-34.6125512857,-58.4071425298,BALVANERA,3,2,0
CATEDRAL,34,16.0,-34.6077277957,-58.3735314292,SAN NICOLAS,1,0,0
CEMENTERIODELARECOLETA,118,20.0,-34.5891497441,-58.3933174506,RECOLETA,2,1,0
CERRITO,90,28.0,-34.6029957671,-58.38284296770001,SAN NICOLAS,1,0,1
CHILE,46,21.0,-34.6163784808,-58.374388824499995,SAN TELMO,1,2,0
COLEGIONACIONALBUENOSAIRES,56,16.0,-34.6107824192,-58.373557461800004,MONSERRAT,1,0,0
CONGRESOII,224,20.0,-34.6089915918,-58.38765292300001,MONSERRAT,1,0,1
CONSTITUCIONI,191,20.0,-34.627455406100005,-58.3791048613,CONSTITUCION,1,3,0
CONSTITUCIONII,192,20.0,-34.6274940765,-58.379231885299994,CONSTITUCION,1,3,0
CORONELDIAZ,78,20.0,-34.590224478,-58.4114953168,PALERMO,14,0,1
CORRIENTES,138,14.0,-34.6031208698,-58.3736760827,SAN NICOLAS,1,0,0
COSTARICA,148,20.0,-34.591624459,-58.4204074371,PALERMO,14,3,0
CORDOBA,47,18.0,-34.5985155232,-58.3769007239,RETIRO,1,0,0
DELLAPAOLERA,106,28.0,-34.5947530966,-58.3725350642,RETIRO,1,0,0
DIAGONALNORTE,49,21.0,-34.604641737,-58.37965184390001,SAN NICOLAS,1,0,1
DISTRITOAUDIOVISUAL,20,20.0,-34.5800361242,-58.4417885099,COLEGIALES,13,2,0
DOBLAS,110,16.0,-34.6241295471,-58.430319869399995,CABALLITO,6,3,0
DONBOSCO,131,20.0,-34.611875879,-58.4155158418,ALMAGRO,5,3,0
ECUADOR,97,16.0,-34.5958623506,-58.404356065,RECOLETA,2,2,0
ESMERALDA,89,19.0,-34.6020919024,-58.37817354,SAN NICOLAS,1,0,0
ESMERALDAYCORRIENTES,143,20.0,-34.6037187781,-58.37810663720001,SAN NICOLAS,1,0,0
ESTADOSUNIDOS,200,16.0,-34.618619956799996,-58.381282608199996,CONSTITUCION,1,3,0
ESTADOSUNIDOSYBOEDO,221,20.0,-34.6224389438,-58.415881554799995,BOEDO,5,1,0
FACULTADDEDERECHO,1,28.0,-34.5831330758,-58.392452073,RECOLETA,2,1,0
FACULTADDEINGENIERIA,142,20.0,-34.618066952199996,-58.3667552894,SAN TELMO,1,0,0
FACULTADDEMEDICINA,41,20.0,-34.5971266094,-58.398717085200005,RECOLETA,2,2,0
